MSSV,HoTen,Lop,DiemToan,DiemLy,DiemHoa,DiemTB,VangPercent,XepLoai
SV0076,Le Bich Quyen,23DTH2A,6.3,8.45,8.42,7.72,26.6,Gioi
SV0077,Huynh Duc Nam,23DTH2B,8.09,8.73,8.13,8.32,0,Gioi
SV0078,Bui Anh Dat,23DTH2C,8.07,8.49,7.7,8.09,7.6,Gioi
SV0079,Ngo Quoc Phong,23DTH2D,7.92,6.74,7.33,7.33,15.7,Gioi
SV0080,Dang Duc Quan,23DTH1A,7.23,6.71,7.16,7.03,0.2,Gioi
SV0081,Bui Anh Cuong,23DTH1B,5.85,5.79,5.44,5.69,0,Kha
SV0082,Dang Thu Binh,23DTH1C,8.16,7.49,8.6,8.08,29.9,Gioi
SV0083,Le Thanh Uyen,23DTH1D,9.69,9.28,8.04,9.0,3.9,Xuat sac
SV0084,Vu Hoang Son,23DTH2A,5.16,4.29,5.07,4.84,12.3,Trung binh
SV0085,Hoang Anh Giang,23DTH2B,6.47,7.27,7.63,7.12,9.8,Gioi
SV0086,Bui Huong Van,23DTH2C,7.25,7.89,6.73,7.29,2.2,Gioi
SV0087,Dang Trung An,23DTH2D,5.63,5.04,4.61,5.09,7.0,Trung binh
SV0088,Ngo Huu Khang,23DTH1A,7.68,8.61,8.22,8.17,16.0,Gioi
SV0089,Phan Hoang Long,23DTH1B,6.33,6.68,7.17,6.73,27.8,Kha
SV0090,Huynh Ngoc Chi,23DTH1C,9.25,8.51,8.8,8.85,6.1,Xuat sac
SV0091,Le My Binh,23DTH1D,5.33,5.4,5.53,5.42,4.3,Trung binh
SV0092,Huynh Ngoc Van,23DTH2A,6.65,5.51,5.83,6.0,5.2,Kha
SV0093,Phan Gia Viet,23DTH2B,2.73,4.3,2.34,3.12,10.8,Yeu
SV0094,Tran Van Quan,23DTH2C,4.82,6.08,6.71,5.87,9.4,Kha
SV0095,Huynh Cong Hung,23DTH2D,9.57,7.6,6.93,8.03,9.4,Gioi
SV0096,Ngo Huu Son,23DTH1A,7.87,7.74,7.53,7.71,1.4,Gioi
SV0097,Nguyen Thi Nhi,23DTH1B,5.78,7.06,5.75,6.2,20.0,Kha
SV0098,Tran Quoc Thanh,23DTH1C,7.17,7.13,6.18,6.83,0,Kha
SV0099,Bui Minh Phuc,23DTH1D,6.23,7.28,6.45,6.65,10.6,Kha
SV0100,Bui My Giang,23DTH2A,7.88,7.61,7.55,7.68,1.7,Gioi
SV0101,Pham Minh Giang,23DTH2B,7.64,8.17,9.23,8.35,0,Gioi
SV0102,Phan Minh Dung,23DTH2C,5.6,4.85,4.65,5.03,2.0,Trung binh
SV0103,Dang Hoang Binh,23DTH2D,4.05,3.34,2.39,3.26,10.9,Yeu
SV0104,Bui Hoang Dung,23DTH1A,4.83,5.61,4.56,5.0,0,Trung binh
SV0105,Ho Huu Son,23DTH1B,7.32,8.63,6.78,7.58,3.1,Gioi
SV0106,Duong Huong Oanh,23DTH1C,9.58,9.24,8.82,9.21,8.7,Xuat sac
SV0107,Hoang Hoang Dung,23DTH1D,6.39,5.86,6.57,6.27,0.8,Kha
SV0108,Ho Gia Binh,23DTH2A,8.72,8.13,9.0,8.62,8.6,Xuat sac
SV0109,Dang Ngoc Nhi,23DTH2B,5.07,5.7,5.65,5.47,0,Trung binh
SV0110,Do Thuy Giang,23DTH2C,6.46,6.56,6.51,6.51,17.7,Kha
SV0111,Ho Kim Thao,23DTH2D,5.42,5.15,3.84,4.8,18.9,Trung binh
SV0112,Ngo Lan Trang,23DTH1A,3.42,3.66,4.0,3.69,15.3,Yeu
SV0113,Huynh Thanh Yen,23DTH1B,4.55,4.64,3.7,4.3,16.6,Trung binh
SV0114,Pham Anh Tuan,23DTH1C,6.28,6.82,7.22,6.77,13.1,Kha
SV0115,Vu Duc Son,23DTH1D,6.68,5.64,5.59,5.97,10.1,Kha
SV0116,Vu Lan Lan,23DTH2A,5.98,7.14,7.56,6.89,18.2,Kha
SV0117,Dang Duc Viet,23DTH2B,5.64,7.02,7.01,6.56,0,Kha
SV0118,Pham Hoang Dung,23DTH2C,5.14,6.77,5.3,5.74,9.7,Kha
SV0119,Huynh Bich Binh,23DTH2D,8.96,8.23,8.92,8.7,5.7,Xuat sac
SV0120,Vo Lan Yen,23DTH1A,8.17,9.34,8.14,8.55,7.4,Xuat sac
SV0121,Do Thu Phuong,23DTH1B,7.21,5.42,7.4,6.68,14.9,Kha
SV0122,Nguyen Thuy Duyen,23DTH1C,4.22,5.43,5.23,4.96,24.9,Trung binh
SV0123,Ho Thanh An,23DTH1D,7.29,6.54,6.08,6.64,9.3,Kha
SV0124,Duong My Chi,23DTH2A,8.2,8.57,6.62,7.8,3.6,Gioi
SV0125,Phan Hoang Binh,23DTH2B,8.38,7.83,7.74,7.98,18.9,Gioi
SV0126,Duong Van An,23DTH2C,3.19,2.25,3.66,3.03,4.9,Yeu
SV0127,Vu Thu Nhi,23DTH2D,6.6,7.6,6.86,7.02,0,Gioi
SV0128,Tran Hoang Minh,23DTH1A,7.98,8.18,8.01,8.06,0,Gioi
SV0129,Do Huong Ha,23DTH1B,4.54,4.44,4.43,4.47,10.7,Trung binh
SV0130,Ngo Hoang Dung,23DTH1C,6.99,7.01,6.36,6.79,8.9,Kha
SV0131,Nguyen Cong Binh,23DTH1D,7.28,6.27,7.41,6.99,15.4,Kha
SV0132,Vu Huu Viet,23DTH2A,3.56,2.83,3.41,3.27,2.4,Yeu
SV0133,Dang Van Phong,23DTH2B,7.35,8.14,7.02,7.5,11.2,Gioi
SV0134,Ho Duc Viet,23DTH2C,3.02,3.21,2.91,3.05,18.3,Yeu
SV0135,Bui My Linh,23DTH2D,6.76,6.53,5.58,6.29,17.3,Kha
SV0136,Vo Minh Nam,23DTH1A,7.76,7.52,6.6,7.29,12.6,Gioi
SV0137,Hoang Hoang Nam,23DTH1B,7.56,7.21,7.21,7.33,10.7,Gioi
SV0138,Phan Lan Ha,23DTH1C,6.07,5.93,5.87,5.96,10.3,Kha
SV0139,Vu Minh An,23DTH1D,2.91,4.71,4.46,4.03,4.0,Trung binh
SV0140,Bui Quoc Khoa,23DTH2A,9.04,8.01,8.95,8.67,11.1,Xuat sac
SV0141,Bui Van Viet,23DTH2B,6.32,5.93,6.47,6.24,0,Kha
SV0142,Ngo Van Thanh,23DTH2C,5.96,5.71,6.75,6.14,0,Kha
SV0143,Vo My Mai,23DTH2D,6.99,6.26,6.22,6.49,6.3,Kha
SV0144,Vu Thu Chi,23DTH1A,7.08,6.59,4.98,6.22,6.4,Kha
SV0145,Bui Huu Thanh,23DTH1B,3.42,3.89,3.93,3.75,18.1,Yeu
SV0146,Ngo Gia Hai,23DTH1C,6.81,7.52,6.81,7.05,18.9,Gioi
SV0147,Tran Huu Cuong,23DTH1D,9.81,7.58,8.53,8.64,15.1,Xuat sac
SV0148,Dang Hoang Long,23DTH2A,6.87,6.26,6.29,6.47,7.7,Kha
SV0149,Bui Thu Hoa,23DTH2B,6.28,5.8,5.8,5.96,3.2,Kha
SV0150,Ngo Van Minh,23DTH2C,6.97,7.67,9.38,8.01,17.7,Gioi
SV0151,Ho Hoang Khang,23DTH2D,6.88,6.97,7.42,7.09,13.8,Gioi
SV0152,Tran Duc Son,23DTH1A,6.18,5.68,6.88,6.25,0,Kha
SV0153,Ngo Hoang Khang,23DTH1B,6.8,7.37,6.6,6.92,1.3,Kha
SV0154,Tran Thuy Oanh,23DTH1C,6.41,4.88,6.94,6.08,9.1,Kha
SV0155,Tran Cong Binh,23DTH1D,6.87,7.21,6.2,6.76,17.6,Kha
SV0156,Huynh Anh Hai,23DTH2A,8.51,8.97,9.86,9.11,0,Xuat sac
SV0157,Dang Thu Thao,23DTH2B,6.34,5.13,5.74,5.74,4.6,Kha
SV0158,Phan Van Hung,23DTH2C,6.97,5.56,5.05,5.86,4.5,Kha
SV0159,Dang Anh Tuan,23DTH2D,4.6,5.06,5.75,5.14,5.7,Trung binh
SV0160,Vo Thuy Binh,23DTH1A,5.9,6.14,5.74,5.93,27.7,Kha
SV0161,Tran Thu Yen,23DTH1B,6.39,6.83,7.04,6.75,11.6,Kha
SV0162,Nguyen Thuy Binh,23DTH1C,9.11,8.05,9.32,8.83,16.2,Xuat sac
SV0163,Hoang Thu Uyen,23DTH1D,6.02,6.92,7.02,6.65,6.4,Kha
SV0164,Ho Ngoc Lan,23DTH2A,6.4,6.11,5.58,6.03,18.6,Kha
SV0165,Bui Ngoc Ha,23DTH2B,8.12,7.46,7.33,7.64,0.6,Gioi
SV0166,Le Thi Giang,23DTH2C,8.89,7.56,8.76,8.4,11.9,Gioi
SV0167,Ngo Lan Binh,23DTH2D,9.53,9.64,8.85,9.34,0,Xuat sac
SV0168,Nguyen Thu Giang,23DTH1A,7.49,7.02,7.55,7.35,8.5,Gioi
SV0169,Le Kim Uyen,23DTH1B,7.14,6.59,7.23,6.99,8.6,Kha
SV0170,Dang My Hoa,23DTH1C,6.04,5.64,6.41,6.03,5.6,Kha
SV0171,Le Cong Dung,23DTH1D,5.1,4.71,5.0,4.94,19.4,Trung binh
SV0172,Huynh Thu Oanh,23DTH2A,7.96,9.47,9.26,8.9,7.0,Xuat sac
SV0173,Hoang Trung An,23DTH2B,7.2,5.67,5.93,6.27,15.7,Kha
SV0174,Tran Huu Giang,23DTH2C,7.67,7.29,6.25,7.07,13.3,Gioi
SV0175,Duong Cong Giang,23DTH2D,5.54,6.19,7.45,6.39,11.2,Kha
SV0176,Le Anh Khang,23DTH1A,7.76,6.31,7.24,7.1,11.8,Gioi
SV0177,Do Lan Thao,23DTH1B,7.81,6.81,8.04,7.55,15.3,Gioi
SV0178,Do Thu Yen,23DTH1C,6.49,7.81,7.66,7.32,9.6,Gioi
SV0179,Vu Hoang Hai,23DTH1D,6.4,5.74,6.62,6.25,6.1,Kha
SV0180,Nguyen Van Dung,23DTH2A,8.02,8.96,8.93,8.64,9.1,Xuat sac
SV0181,Phan Anh Khang,23DTH2B,4.92,4.3,4.98,4.73,17.9,Trung binh
SV0182,Nguyen Huong Duyen,23DTH2C,7.07,7.13,6.7,6.97,1.0,Kha
SV0183,Ho Thanh Duyen,23DTH2D,5.53,6.26,7.28,6.36,7.7,Kha
SV0184,Hoang Cong Phuc,23DTH1A,8.0,8.86,9.14,8.67,0,Xuat sac
SV0185,Tran Thi Mai,23DTH1B,7.78,7.8,6.62,7.4,8.4,Gioi
SV0186,Do Huu Phuc,23DTH1C,6.35,5.49,5.8,5.88,9.9,Kha
SV0187,Tran Lan Binh,23DTH1D,5.97,5.99,5.21,5.72,0,Kha
SV0188,Dang Huu Tuan,23DTH2A,9.31,8.8,7.94,8.68,13.9,Xuat sac
SV0189,Duong Lan Nhi,23DTH2B,5.13,5.13,4.65,4.97,15.2,Trung binh
SV0190,Huynh Hoang Nam,23DTH2C,4.32,5.18,5.7,5.07,0,Trung binh
SV0191,Duong Cong Nam,23DTH2D,6.08,5.72,5.99,5.93,19.8,Kha
SV0192,Vu Trung Binh,23DTH1A,6.91,7.42,6.66,7.0,11.3,Gioi
SV0193,Duong Thuy Hoa,23DTH1B,6.7,7.4,6.13,6.74,13.7,Kha
SV0194,Le Thu Oanh,23DTH1C,8.0,8.76,7.64,8.13,5.1,Gioi
SV0195,Do Huu Binh,23DTH1D,4.99,5.91,5.12,5.34,9.4,Trung binh
SV0196,Le Kim An,23DTH2A,5.2,5.84,5.52,5.52,14.8,Kha
SV0197,Phan Thi Chi,23DTH2B,5.69,5.79,5.68,5.72,23.1,Kha
SV0198,Nguyen Van Phong,23DTH2C,7.73,9.43,9.1,8.75,18.7,Xuat sac
SV0199,Duong Quoc Dung,23DTH2D,7.83,9.28,8.35,8.49,9.6,Gioi
SV0200,Vu Thi Yen,23DTH1A,7.03,7.18,7.45,7.22,18.1,Gioi
SV0201,Nguyen Cong Viet,23DTH1B,5.6,7.19,5.64,6.14,9.5,Kha
SV0202,Do Van Viet,23DTH1C,5.5,6.43,6.62,6.18,0,Kha
SV0203,Hoang Huong Phuong,23DTH1D,6.21,6.07,5.83,6.04,7.3,Kha
SV0204,Phan Thi An,23DTH2A,8.6,8.01,8.69,8.43,2.2,Gioi
SV0205,Ho Huong Giang,23DTH2B,8.22,6.88,6.56,7.22,2.6,Gioi
SV0206,Vu Thuy Quyen,23DTH2C,6.86,6.81,5.82,6.5,8.0,Kha
SV0207,Bui Van Khoa,23DTH2D,8.86,8.13,7.93,8.31,0,Gioi
SV0208,Ngo Huong Mai,23DTH1A,5.22,5.01,4.65,4.96,11.2,Trung binh
SV0209,Ho Trung Khoa,23DTH1B,7.13,6.51,6.98,6.87,8.8,Kha
SV0210,Bui Trung Phuc,23DTH1C,6.19,6.31,5.86,6.12,4.3,Kha
SV0211,Vu Thi Binh,23DTH1D,5.92,6.05,6.89,6.29,24.2,Kha
SV0212,Dang Huu Binh,23DTH2A,5.12,4.76,5.29,5.06,22.1,Trung binh
SV0213,Huynh Van Thanh,23DTH2B,3.13,4.36,4.51,4.0,22.9,Trung binh
SV0214,Vo Thuy Nga,23DTH2C,6.37,6.72,7.6,6.9,1.7,Kha
SV0215,Nguyen Ngoc Ha,23DTH2D,6.34,6.71,6.6,6.55,3.2,Kha
SV0216,Vo Ngoc Hoa,23DTH1A,8.07,6.85,6.81,7.24,10.3,Gioi
SV0217,Vo Gia Long,23DTH1B,6.77,5.38,7.34,6.5,11.8,Kha
SV0218,Pham Minh Dung,23DTH1C,7.13,6.61,7.1,6.95,22.5,Kha
SV0219,Le Bich Mai,23DTH1D,5.95,5.77,4.44,5.39,24.0,Trung binh
SV0220,Phan Huong Nhi,23DTH2A,4.71,6.4,4.52,5.21,24.9,Trung binh
SV0221,Bui Ngoc Duyen,23DTH2B,5.76,5.22,4.89,5.29,16.5,Trung binh
SV0222,Dang Cong Thanh,23DTH2C,6.27,5.59,5.08,5.65,2.5,Kha
SV0223,Dang Anh Phong,23DTH2D,4.66,4.09,5.23,4.66,18.2,Trung binh
SV0224,Vu Gia Long,23DTH1A,5.79,7.02,5.98,6.26,8.5,Kha
SV0225,Bui Ngoc Linh,23DTH1B,8.44,7.5,8.66,8.2,17.5,Gioi
SV0226,Dang Huong Lan,23DTH1C,7.1,7.19,8.26,7.52,7.0,Gioi
SV0227,Bui Trung Khang,23DTH1D,6.91,6.24,7.65,6.93,5.8,Kha
SV0228,Bui Van Minh,23DTH2A,6.36,7.12,6.88,6.79,0,Kha
SV0229,Nguyen Huong Nhi,23DTH2B,8.39,9.11,9.36,8.95,6.1,Xuat sac
SV0230,Duong Lan Nga,23DTH2C,4.3,5.08,4.92,4.77,16.7,Trung binh
SV0231,Hoang Thuy Mai,23DTH2D,7.65,8.19,7.45,7.76,6.7,Gioi
SV0232,Huynh Minh Hung,23DTH1A,6.68,5.75,6.28,6.24,17.2,Kha
SV0233,Phan Minh Giang,23DTH1B,3.06,3.55,3.85,3.49,5.0,Yeu
SV0234,Huynh Thi Uyen,23DTH1C,3.31,3.41,3.45,3.39,17.5,Yeu
SV0235,Ho Hoang Binh,23DTH1D,7.72,8.96,7.75,8.14,17.9,Gioi
SV0236,Nguyen Duc Giang,23DTH2A,4.47,5.21,5.22,4.97,11.6,Trung binh
SV0237,Do Van Viet,23DTH2B,4.72,5.98,7.3,6.0,15.8,Kha
SV0238,Ho Gia Hai,23DTH2C,7.81,7.2,7.22,7.41,20.4,Gioi
SV0239,Pham Trung Dung,23DTH2D,7.06,8.17,8.32,7.85,0,Gioi
SV0240,Pham Trung Dat,23DTH1A,6.23,6.8,6.63,6.55,5.4,Kha
SV0241,Tran My Uyen,23DTH1B,6.07,6.13,6.12,6.11,9.8,Kha
SV0242,Ngo Trung Hung,23DTH1C,6.05,5.97,7.81,6.61,5.0,Kha
SV0243,Phan Thuy An,23DTH1D,4.04,4.8,4.28,4.37,19.9,Trung binh
SV0244,Do Hoang Hung,23DTH2A,6.76,6.46,5.72,6.31,9.2,Kha
SV0245,Tran Duc An,23DTH2B,3.72,3.87,2.69,3.43,17.6,Yeu
SV0246,Nguyen Cong Quan,23DTH2C,4.28,3.46,4.1,3.95,16.5,Yeu
SV0247,Ngo Kim Binh,23DTH2D,7.35,5.72,6.1,6.39,4.9,Kha
SV0248,Do Ngoc An,23DTH1A,8.59,8.77,8.49,8.62,19.2,Xuat sac
SV0249,Vo Thuy Thao,23DTH1B,8.75,8.87,7.99,8.54,12.8,Xuat sac
SV0250,Duong Minh Khang,23DTH1C,5.95,7.62,7.65,7.07,14.3,Gioi
SV0251,Duong Ngoc An,23DTH1D,6.86,7.36,6.32,6.85,17.8,Kha
SV0252,Do Anh Phuc,23DTH2A,6.36,6.89,5.99,6.41,8.0,Kha
SV0253,Nguyen Huu Phuc,23DTH2B,3.53,3.93,5.08,4.18,2.8,Trung binh
SV0254,Le Gia Thanh,23DTH2C,8.2,10,7.86,8.69,4.2,Xuat sac
SV0255,Huynh Bich Binh,23DTH2D,5.12,4.79,4.56,4.82,22.1,Trung binh
SV0256,Ngo Ngoc Trang,23DTH1A,4.18,4.27,3.32,3.92,10.2,Yeu
SV0257,Vu Lan Mai,23DTH1B,7.95,7.35,9.17,8.16,5.4,Gioi
SV0258,Duong Thanh Nga,23DTH1C,2.23,3.63,2.84,2.9,13.0,Yeu
SV0259,Vu Cong An,23DTH1D,4.85,4.51,4.73,4.7,5.9,Trung binh
SV0260,Hoang Thuy Uyen,23DTH2A,4.6,4.71,4.48,4.6,4.4,Trung binh
SV0261,Pham Ngoc Binh,23DTH2B,2.99,3.69,4.1,3.59,11.7,Yeu
SV0262,Ho Thanh Van,23DTH2C,8.73,9.0,8.91,8.88,3.9,Xuat sac
SV0263,Vu Hoang Giang,23DTH2D,5.82,7.31,6.0,6.38,26.4,Kha
SV0264,Huynh Hoang Long,23DTH1A,7.01,6.9,7.27,7.06,8.0,Gioi
SV0265,Huynh Gia Khoa,23DTH1B,4.59,4.76,5.96,5.1,13.1,Trung binh
SV0266,Dang Ngoc An,23DTH1C,6.41,6.96,8.23,7.2,19.3,Gioi
SV0267,Nguyen Thuy Lan,23DTH1D,4.17,6.34,5.45,5.32,13.9,Trung binh
SV0268,Do Minh Thanh,23DTH2A,7.05,6.72,8.53,7.43,3.7,Gioi
SV0269,Vo Huu Khang,23DTH2B,8.01,8.56,8.47,8.35,4.1,Gioi
SV0270,Phan Thanh Phuong,23DTH2C,6.38,6.72,4.87,5.99,7.8,Kha
SV0271,Ngo Minh Phuc,23DTH2D,5.35,6.93,5.28,5.85,16.3,Kha
SV0272,Vo Trung Dung,23DTH1A,6.73,5.81,4.66,5.73,9.3,Kha
SV0273,Vo Thanh Giang,23DTH1B,7.28,7.78,7.4,7.49,0,Gioi
SV0274,Vu Thu Yen,23DTH1C,3.53,3.39,4.77,3.9,0.1,Yeu
SV0275,Pham Quoc Long,23DTH1D,6.29,6.48,6.53,6.43,2.4,Kha
SV0276,Phan Thuy Chi,23DTH2A,8.94,8.02,8.51,8.49,13.9,Gioi
SV0277,Le Van Quan,23DTH2B,5.62,7.06,5.71,6.13,3.2,Kha
SV0278,Ngo Quoc Quan,23DTH2C,4.43,4.49,5.28,4.73,13.7,Trung binh
SV0279,Duong Trung Hai,23DTH2D,4.29,4.52,4.79,4.53,29.5,Trung binh
SV0280,Dang Huu Dat,23DTH1A,6.88,7.94,7.74,7.52,3.0,Gioi
SV0281,Nguyen Thi Oanh,23DTH1B,8.34,9.4,10,9.25,0,Xuat sac
SV0282,Huynh Anh Hai,23DTH1C,7.31,8.36,7.03,7.57,4.4,Gioi
SV0283,Ho Cong Viet,23DTH1D,7.64,7.46,7.8,7.63,7.2,Gioi
SV0284,Dang Cong Hai,23DTH2A,5.6,6.2,6.16,5.99,22.0,Kha
SV0285,Tran Huu Tuan,23DTH2B,5.64,6.93,6.78,6.45,5.8,Kha
SV0286,Hoang Ngoc Oanh,23DTH2C,6.53,5.65,5.57,5.92,18.6,Kha
SV0287,Ngo Hoang Tuan,23DTH2D,9.18,8.54,9.41,9.04,3.5,Xuat sac
SV0288,Vo Thanh An,23DTH1A,5.86,7.37,8.02,7.08,2.6,Gioi
SV0289,Hoang Ngoc Ha,23DTH1B,2.94,3.99,3.01,3.31,7.0,Yeu
SV0290,Phan Trung Khang,23DTH1C,8.7,8.12,8.43,8.42,12.3,Gioi
SV0291,Dang Trung Giang,23DTH1D,7.37,6.91,6.83,7.04,0,Gioi
SV0292,Duong Lan Oanh,23DTH2A,6.85,6.53,7.33,6.9,5.6,Kha
SV0293,Vo Huu Hai,23DTH2B,7.68,7.54,6.73,7.32,11.4,Gioi
